s	real_super_population
HG00609	EAS
HG00610	EAS
HG00611	EAS
HG00612	EAS
HG00613	EAS
HG00614	EAS
HG00615	EAS
HG00619	EAS
HG00620	EAS
HG00621	EAS
HG00622	EAS
HG00623	EAS
HG00624	EAS
HG00625	EAS
HG00626	EAS
HG00627	EAS
HG00628	EAS
HG00629	EAS
HG00630	EAS
HG00631	EAS
HG00632	EAS
HG00633	EAS
HG00634	EAS
HG00635	EAS
HG00636	EAS
HG00637	AMR
HG00638	AMR
HG00639	AMR
HG00640	AMR
HG00641	AMR
HG00642	AMR
HG00650	EAS
HG00651	EAS
HG00652	EAS
HG00653	EAS
HG00654	EAS
HG00655	EAS
HG00656	EAS
HG00657	EAS
HG00658	EAS
HG00662	EAS
HG00663	EAS
HG00664	EAS
HG00671	EAS
HG00672	EAS
HG00673	EAS
HG00674	EAS
HG00675	EAS
HG00676	EAS
HG00683	EAS
HG00684	EAS
HG00685	EAS
HG00689	EAS
HG00690	EAS
HG00691	EAS
HG00692	EAS
HG00693	EAS
HG00694	EAS
HG00698	EAS
HG00699	EAS
HG00700	EAS
HG00701	EAS
HG00702	EAS
HG00703	EAS
HG00704	EAS
HG00705	EAS
HG00706	EAS
HG00707	EAS
HG00708	EAS
HG00709	EAS
HG00716	EAS
HG00717	EAS
HG00718	EAS
HG00728	EAS
HG00729	EAS
HG00730	EAS
HG00731	AMR
HG00732	AMR
HG00733	AMR
HG00734	AMR
HG00735	AMR
HG00736	AMR
HG00737	AMR
HG00738	AMR
HG00739	AMR
HG00740	AMR
HG00741	AMR
HG00742	AMR
HG00743	AMR
HG00759	EAS
HG00766	EAS
HG00844	EAS
HG00851	EAS
HG00864	EAS
HG00866	EAS
HG00867	EAS
HG00879	EAS
HG00881	EAS
HG00956	EAS
HG00978	EAS
HG00982	EAS
HG00983	EAS
HG01028	EAS
HG01029	EAS
HG01031	EAS
HG01046	EAS
HG01047	AMR
HG01048	AMR
HG01049	AMR
HG01050	AMR
HG01051	AMR
HG01052	AMR
HG01053	AMR
HG01054	AMR
HG01055	AMR
HG01056	AMR
HG01058	AMR
HG01060	AMR
HG01061	AMR
HG01062	AMR
HG01063	AMR
HG01064	AMR
HG01066	AMR
HG01067	AMR
HG01068	AMR
HG01069	AMR
HG01070	AMR
HG01071	AMR
HG01072	AMR
HG01073	AMR
HG01074	AMR
HG01075	AMR
HG01077	AMR
HG01079	AMR
HG01080	AMR
HG01081	AMR
HG01082	AMR
HG01083	AMR
HG01084	AMR
HG01085	AMR
HG01086	AMR
HG01087	AMR
HG01088	AMR
HG01089	AMR
HG01090	AMR
HG01092	AMR
HG01094	AMR
HG01095	AMR
HG01096	AMR
HG01097	AMR
HG01098	AMR
HG01099	AMR
HG01100	AMR
HG01101	AMR
HG01102	AMR
HG01103	AMR
HG01104	AMR
HG01105	AMR
HG01106	AMR
HG01107	AMR
HG01108	AMR
HG01109	AMR
HG01110	AMR
HG01111	AMR
HG01112	AMR
HG01113	AMR
HG01114	AMR
HG01119	AMR
HG01121	AMR
HG01122	AMR
HG01123	AMR
HG01124	AMR
HG01125	AMR
HG01126	AMR
HG01130	AMR
HG01131	AMR
HG01133	AMR
HG01134	AMR
HG01135	AMR
HG01136	AMR
HG01137	AMR
HG01138	AMR
HG01139	AMR
HG01140	AMR
HG01141	AMR
HG01142	AMR
HG01148	AMR
HG01149	AMR
HG01150	AMR
HG01161	AMR
HG01162	AMR
HG01164	AMR
HG01167	AMR
HG01168	AMR
HG01169	AMR
HG01170	AMR
HG01171	AMR
HG01172	AMR
HG01173	AMR
HG01174	AMR
HG01175	AMR
HG01176	AMR
HG01177	AMR
HG01178	AMR
HG01182	AMR
HG01183	AMR
HG01184	AMR
HG01187	AMR
HG01188	AMR
HG01189	AMR
HG01190	AMR
HG01191	AMR
HG01192	AMR
HG01195	AMR
HG01197	AMR
HG01198	AMR
HG01199	AMR
HG01200	AMR
HG01204	AMR
HG01205	AMR
HG01206	AMR
HG01241	AMR
HG01242	AMR
HG01243	AMR
HG01247	AMR
HG01248	AMR
HG01249	AMR
HG01250	AMR
HG01251	AMR
HG01252	AMR
HG01253	AMR
HG01254	AMR
HG01255	AMR
HG01256	AMR
HG01257	AMR
HG01258	AMR
