s	real_super_population
HG02890	AFR
HG02891	AFR
HG02892	AFR
HG02895	AFR
HG02896	AFR
HG02897	AFR
HG02922	AFR
HG02923	AFR
HG02924	AFR
HG02938	AFR
HG02939	AFR
HG02941	AFR
HG02942	AFR
HG02943	AFR
HG02944	AFR
HG02945	AFR
HG02946	AFR
HG02947	AFR
HG02948	AFR
HG02952	AFR
HG02953	AFR
HG02954	AFR
HG02964	AFR
HG02965	AFR
HG02966	AFR
HG02968	AFR
HG02969	AFR
HG02970	AFR
HG02971	AFR
HG02972	AFR
HG02973	AFR
HG02974	AFR
HG02975	AFR
HG02976	AFR
HG02977	AFR
HG02978	AFR
HG02979	AFR
HG02980	AFR
HG02981	AFR
HG02982	AFR
HG02983	AFR
HG02984	AFR
HG03006	SAS
HG03007	SAS
HG03008	SAS
HG03009	SAS
HG03012	SAS
HG03015	SAS
HG03016	SAS
HG03017	SAS
HG03018	SAS
HG03019	SAS
HG03021	SAS
HG03022	SAS
HG03023	SAS
HG03024	AFR
HG03025	AFR
HG03026	AFR
HG03027	AFR
HG03028	AFR
HG03029	AFR
HG03033	AFR
HG03034	AFR
HG03035	AFR
HG03039	AFR
HG03040	AFR
HG03041	AFR
HG03045	AFR
HG03046	AFR
HG03047	AFR
HG03048	AFR
HG03049	AFR
HG03050	AFR
HG03052	AFR
HG03053	AFR
HG03054	AFR
HG03055	AFR
HG03056	AFR
HG03057	AFR
HG03058	AFR
HG03059	AFR
HG03060	AFR
HG03061	AFR
HG03062	AFR
HG03063	AFR
HG03064	AFR
HG03065	AFR
HG03066	AFR
HG03069	AFR
HG03072	AFR
HG03073	AFR
HG03074	AFR
HG03076	AFR
HG03077	AFR
HG03078	AFR
HG03079	AFR
HG03080	AFR
HG03081	AFR
HG03082	AFR
HG03084	AFR
HG03085	AFR
HG03086	AFR
HG03088	AFR
HG03091	AFR
HG03095	AFR
HG03096	AFR
HG03097	AFR
HG03098	AFR
HG03099	AFR
HG03100	AFR
HG03101	AFR
HG03103	AFR
HG03104	AFR
HG03105	AFR
HG03107	AFR
HG03108	AFR
HG03109	AFR
HG03110	AFR
HG03111	AFR
HG03112	AFR
HG03113	AFR
HG03114	AFR
HG03115	AFR
HG03116	AFR
HG03117	AFR
HG03118	AFR
HG03119	AFR
HG03120	AFR
HG03121	AFR
HG03122	AFR
HG03123	AFR
HG03124	AFR
HG03125	AFR
HG03126	AFR
HG03127	AFR
HG03128	AFR
HG03129	AFR
HG03130	AFR
HG03131	AFR
HG03132	AFR
HG03133	AFR
HG03134	AFR
HG03135	AFR
HG03136	AFR
HG03137	AFR
HG03139	AFR
HG03140	AFR
HG03157	AFR
HG03158	AFR
HG03159	AFR
HG03160	AFR
HG03161	AFR
HG03162	AFR
HG03163	AFR
HG03164	AFR
HG03166	AFR
HG03167	AFR
HG03168	AFR
HG03169	AFR
HG03170	AFR
HG03171	AFR
HG03172	AFR
HG03173	AFR
HG03175	AFR
HG03176	AFR
HG03189	AFR
HG03190	AFR
HG03191	AFR
HG03193	AFR
HG03194	AFR
HG03195	AFR
HG03196	AFR
HG03197	AFR
HG03198	AFR
HG03199	AFR
HG03200	AFR
HG03202	AFR
HG03203	AFR
HG03209	AFR
HG03212	AFR
HG03224	AFR
HG03225	AFR
HG03228	SAS
HG03229	SAS
HG03230	SAS
HG03234	SAS
HG03235	SAS
HG03236	SAS
HG03237	SAS
HG03238	SAS
HG03239	SAS
HG03240	AFR
HG03241	AFR
HG03242	AFR
HG03246	AFR
HG03247	AFR
HG03248	AFR
HG03249	AFR
HG03250	AFR
HG03251	AFR
HG03258	AFR
HG03259	AFR
HG03260	AFR
HG03265	AFR
HG03266	AFR
HG03267	AFR
HG03268	AFR
HG03269	AFR
HG03270	AFR
HG03271	AFR
HG03272	AFR
HG03279	AFR
HG03280	AFR
HG03291	AFR
HG03293	AFR
HG03294	AFR
HG03295	AFR
HG03296	AFR
HG03297	AFR
HG03298	AFR
HG03299	AFR
HG03300	AFR
HG03301	AFR
HG03302	AFR
HG03303	AFR
HG03304	AFR
HG03305	AFR
HG03306	AFR
HG03307	AFR
HG03308	AFR
HG03309	AFR
HG03310	AFR
HG03311	AFR
HG03312	AFR
HG03313	AFR
HG03314	AFR
HG03339	AFR
HG03341	AFR
HG03342	AFR
HG03343	AFR
HG03344	AFR
HG03350	AFR
HG03351	AFR
HG03352	AFR
HG03354	AFR
HG03361	AFR
HG03362	AFR
HG03363	AFR
HG03365	AFR
HG03366	AFR
HG03367	AFR
HG03368	AFR
HG03369	AFR
HG03370	AFR
HG03371	AFR
HG03372	AFR
HG03373	AFR
HG03374	AFR
HG03376	AFR
HG03378	AFR
HG03380	AFR
HG03381	AFR
HG03382	AFR
HG03383	AFR
HG03384	AFR
HG03385	AFR
HG03388	AFR
HG03390	AFR
HG03391	AFR
HG03393	AFR
HG03394	AFR
HG03397	AFR
HG03398	AFR
HG03399	AFR
HG03401	AFR
HG03402	AFR
HG03408	AFR
HG03410	AFR
HG03411	AFR
HG03419	AFR
HG03428	AFR
HG03431	AFR
HG03432	AFR
HG03433	AFR
HG03436	AFR
HG03437	AFR
HG03438	AFR
HG03439	AFR
HG03442	AFR
HG03445	AFR
HG03446	AFR
HG03449	AFR
HG03450	AFR
HG03451	AFR
HG03452	AFR
HG03453	AFR
HG03454	AFR
HG03455	AFR
HG03456	AFR
HG03457	AFR
HG03458	AFR
HG03459	AFR
HG03460	AFR
HG03461	AFR
HG03462	AFR
HG03464	AFR
HG03465	AFR
HG03466	AFR
HG03468	AFR
HG03469	AFR
HG03470	AFR
HG03471	AFR
HG03472	AFR
HG03473	AFR
HG03474	AFR
HG03476	AFR
HG03477	AFR
HG03478	AFR
HG03479	AFR
HG03480	AFR
HG03484	AFR
HG03485	AFR
HG03486	AFR
HG03487	SAS
HG03488	SAS
HG03489	SAS
HG03490	SAS
HG03491	SAS
HG03492	SAS
HG03493	AFR
HG03499	AFR
HG03508	AFR
HG03510	AFR
HG03511	AFR
HG03513	AFR
HG03514	AFR
HG03515	AFR
HG03516	AFR
HG03517	AFR
HG03518	AFR
HG03519	AFR
HG03520	AFR
HG03521	AFR
HG03522	AFR
HG03538	AFR
HG03539	AFR
HG03540	AFR
HG03547	AFR
HG03548	AFR
HG03549	AFR
HG03556	AFR
HG03557	AFR
HG03558	AFR
HG03559	AFR
HG03563	AFR
HG03564	AFR
HG03565	AFR
HG03566	AFR
HG03567	AFR
HG03569	AFR
HG03571	AFR
HG03572	AFR
HG03574	AFR
HG03575	AFR
HG03576	AFR
HG03577	AFR
HG03578	AFR
HG03579	AFR
HG03582	AFR
HG03583	AFR
HG03584	AFR
HG03585	SAS
HG03587	SAS
HG03589	SAS
HG03590	SAS
HG03593	SAS
HG03594	SAS
HG03595	SAS
HG03596	SAS
HG03598	SAS
HG03599	SAS
HG03600	SAS
HG03602	SAS
HG03603	SAS
HG03604	SAS
HG03605	SAS
HG03606	SAS
HG03607	SAS
HG03611	SAS
HG03615	SAS
HG03616	SAS
HG03617	SAS
HG03618	SAS
HG03619	SAS
HG03620	SAS
HG03621	SAS
HG03624	SAS
HG03625	SAS
HG03626	SAS
HG03629	SAS
HG03631	SAS
HG03633	SAS
HG03634	SAS
HG03635	SAS
HG03636	SAS
HG03638	SAS
HG03639	SAS
HG03640	SAS
HG03641	SAS
HG03642	SAS
HG03643	SAS
HG03644	SAS
HG03645	SAS
HG03646	SAS
HG03649	SAS
HG03650	SAS
HG03651	SAS
HG03652	SAS
HG03653	SAS
HG03654	SAS
HG03656	SAS
HG03657	SAS
HG03660	SAS
HG03663	SAS
HG03667	SAS
HG03668	SAS
HG03669	SAS
HG03672	SAS
HG03673	SAS
HG03679	SAS
HG03680	SAS
HG03681	SAS
HG03682	SAS
HG03683	SAS
HG03684	SAS
HG03685	SAS
HG03686	SAS
HG03687	SAS
HG03688	SAS
HG03689	SAS
HG03690	SAS
HG03691	SAS
HG03692	SAS
HG03693	SAS
HG03694	SAS
HG03695	SAS
HG03696	SAS
HG03697	SAS
HG03698	SAS
HG03699	SAS
HG03700	SAS
HG03701	SAS
HG03702	SAS
HG03703	SAS
HG03704	SAS
HG03705	SAS
HG03706	SAS
HG03707	SAS
HG03708	SAS
HG03709	SAS
HG03710	SAS
HG03711	SAS
HG03713	SAS
HG03714	SAS
HG03715	SAS
HG03716	SAS
HG03717	SAS
HG03718	SAS
HG03719	SAS
HG03720	SAS
HG03721	SAS
HG03722	SAS
HG03723	SAS
HG03725	SAS
HG03727	SAS
HG03729	SAS
HG03730	SAS
HG03731	SAS
HG03732	SAS
HG03733	SAS
HG03736	SAS
HG03738	SAS
HG03740	SAS
HG03741	SAS
HG03742	SAS
HG03743	SAS
HG03744	SAS
HG03745	SAS
HG03746	SAS
HG03750	SAS
HG03752	SAS
HG03753	SAS
HG03754	SAS
HG03755	SAS
HG03756	SAS
HG03757	SAS
HG03760	SAS
HG03761	SAS
HG03762	SAS
HG03763	SAS
HG03765	SAS
HG03766	SAS
HG03767	SAS
HG03769	SAS
HG03770	SAS
HG03771	SAS
HG03772	SAS
HG03773	SAS
HG03774	SAS
HG03775	SAS
HG03777	SAS
HG03778	SAS
HG03779	SAS
HG03780	SAS
HG03781	SAS
HG03782	SAS
HG03783	SAS
HG03784	SAS
HG03785	SAS
HG03786	SAS
HG03787	SAS
HG03788	SAS
HG03789	SAS
HG03790	SAS
HG03792	SAS
HG03793	SAS
HG03794	SAS
HG03795	SAS
HG03796	SAS
HG03797	SAS
HG03798	SAS
HG03799	SAS
HG03800	SAS
HG03801	SAS
HG03802	SAS
HG03803	SAS
HG03804	SAS
HG03805	SAS
HG03806	SAS
HG03807	SAS
HG03808	SAS
HG03809	SAS
HG03811	SAS
HG03812	SAS
HG03813	SAS
HG03814	SAS
HG03815	SAS
HG03816	SAS
HG03817	SAS
HG03821	SAS
HG03822	SAS
HG03823	SAS
HG03824	SAS
HG03825	SAS
HG03826	SAS
HG03829	SAS
HG03830	SAS
HG03831	SAS
HG03832	SAS
HG03833	SAS
HG03834	SAS
HG03835	SAS
HG03836	SAS
HG03837	SAS
HG03838	SAS
HG03840	SAS
HG03842	SAS
HG03844	SAS
HG03845	SAS
HG03846	SAS
HG03847	SAS
HG03848	SAS
HG03849	SAS
HG03850	SAS
HG03851	SAS
HG03854	SAS
HG03856	SAS
HG03857	SAS
HG03858	SAS
HG03861	SAS
HG03862	SAS
HG03863	SAS
HG03864	SAS
HG03866	SAS
HG03867	SAS
HG03868	SAS
HG03869	SAS
HG03870	SAS
HG03871	SAS
HG03872	SAS
HG03873	SAS
HG03874	SAS
HG03875	SAS
HG03876	SAS
HG03879	SAS
HG03882	SAS
HG03884	SAS
HG03885	SAS
HG03886	SAS
HG03887	SAS
HG03888	SAS
HG03890	SAS
HG03894	SAS
HG03895	SAS
HG03896	SAS
HG03897	SAS
HG03898	SAS
HG03899	SAS
HG03900	SAS
HG03901	SAS
HG03902	SAS
HG03903	SAS
HG03904	SAS
HG03905	SAS
HG03906	SAS
HG03907	SAS
HG03908	SAS
HG03909	SAS
HG03910	SAS
HG03911	SAS
HG03913	SAS
HG03914	SAS
HG03915	SAS
HG03916	SAS
HG03917	SAS
HG03919	SAS
HG03920	SAS
HG03922	SAS
HG03924	SAS
HG03925	SAS
HG03926	SAS
HG03927	SAS
HG03928	SAS
HG03929	SAS
HG03930	SAS
HG03931	SAS
HG03934	SAS
HG03937	SAS
HG03939	SAS
HG03940	SAS
HG03941	SAS
HG03942	SAS
HG03943	SAS
HG03944	SAS
HG03945	SAS
HG03947	SAS
HG03948	SAS
HG03949	SAS
HG03950	SAS
HG03951	SAS
HG03953	SAS
HG03955	SAS
HG03960	SAS
HG03963	SAS
HG03965	SAS
HG03967	SAS
HG03968	SAS
HG03969	SAS
HG03971	SAS
HG03972	SAS
HG03973	SAS
HG03974	SAS
HG03976	SAS
HG03977	SAS
HG03978	SAS
HG03982	SAS
HG03985	SAS
HG03986	SAS
HG03988	SAS
HG03989	SAS
HG03990	SAS
HG03991	SAS
HG03992	SAS
HG03995	SAS
HG03998	SAS
HG03999	SAS
HG04001	SAS
HG04002	SAS
HG04003	SAS
HG04006	SAS
HG04014	SAS
HG04015	SAS
HG04017	SAS
HG04018	SAS
HG04019	SAS
HG04020	SAS
HG04022	SAS
HG04023	SAS
HG04024	SAS
HG04025	SAS
HG04026	SAS
HG04029	SAS
HG04033	SAS
HG04035	SAS
HG04036	SAS
HG04037	SAS
HG04038	SAS
HG04039	SAS
HG04040	SAS
HG04042	SAS
HG04047	SAS
HG04050	SAS
HG04053	SAS
HG04054	SAS
HG04055	SAS
HG04056	SAS
HG04058	SAS
HG04059	SAS
HG04060	SAS
HG04061	SAS
HG04062	SAS
HG04063	SAS
HG04067	SAS
HG04070	SAS
HG04075	SAS
HG04076	SAS
HG04080	SAS
HG04090	SAS
HG04093	SAS
HG04094	SAS
HG04096	SAS
HG04098	SAS
HG04099	SAS
HG04100	SAS
HG04106	SAS
HG04107	SAS
HG04114	SAS
HG04115	SAS
HG04118	SAS
HG04122	SAS
HG04127	SAS
HG04128	SAS
HG04131	SAS
HG04132	SAS
HG04133	SAS
HG04134	SAS
HG04135	SAS
HG04136	SAS
HG04140	SAS
HG04141	SAS
HG04142	SAS
HG04144	SAS
HG04146	SAS
HG04147	SAS
HG04148	SAS
HG04149	SAS
HG04150	SAS
HG04151	SAS
HG04152	SAS
HG04153	SAS
HG04155	SAS
HG04156	SAS
HG04157	SAS
HG04158	SAS
HG04159	SAS
HG04160	SAS
HG04161	SAS
HG04162	SAS
HG04164	SAS
HG04171	SAS
HG04173	SAS
HG04174	SAS
HG04175	SAS
HG04176	SAS
HG04177	SAS
HG04180	SAS
HG04181	SAS
HG04182	SAS
HG04183	SAS
HG04184	SAS
HG04185	SAS
HG04186	SAS
HG04187	SAS
HG04188	SAS
HG04189	SAS
HG04191	SAS
HG04192	SAS
HG04193	SAS
HG04194	SAS
HG04195	SAS
HG04197	SAS
HG04198	SAS
HG04199	SAS
HG04200	SAS
HG04202	SAS
HG04204	SAS
HG04206	SAS
HG04208	SAS
HG04209	SAS
HG04210	SAS
HG04211	SAS
HG04212	SAS
HG04214	SAS
HG04215	SAS
HG04216	SAS
HG04217	SAS
HG04219	SAS
HG04222	SAS
HG04225	SAS
HG04227	SAS
HG04228	SAS
HG04229	SAS
HG04235	SAS
HG04238	SAS
HG04239	SAS
HG04301	EUR
HG04302	EUR
HG04303	EUR
NA06984	EUR
NA06985	EUR
NA06986	EUR
NA06989	EUR
NA06991	EUR
NA06993	EUR
NA06994	EUR
NA06995	EUR
NA06997	EUR
NA07000	EUR
NA07014	EUR
NA07019	EUR
NA07022	EUR
NA07029	EUR
NA07031	EUR
NA07034	EUR
NA07037	EUR
NA07045	EUR
NA07048	EUR
NA07051	EUR
NA07055	EUR
NA07056	EUR
NA07340	EUR
NA07345	EUR
NA07346	EUR
NA07347	EUR
NA07348	EUR
NA07349	EUR
NA07357	EUR
NA07435	EUR
NA10830	EUR
NA10831	EUR
NA10835	EUR
NA10836	EUR
NA10837	EUR
NA10838	EUR
NA10839	EUR
NA10840	EUR
NA10842	EUR
NA10843	EUR
NA10845	EUR
NA10846	EUR
NA10847	EUR
NA10850	EUR
NA10851	EUR
NA10852	EUR
NA10853	EUR
NA10854	EUR
NA10855	EUR
NA10856	EUR
NA10857	EUR
NA10859	EUR
NA10860	EUR
NA10861	EUR
NA10863	EUR
NA10864	EUR
NA10865	EUR
NA11829	EUR
NA11830	EUR
NA11831	EUR
NA11832	EUR
NA11839	EUR
NA11840	EUR
NA11843	EUR
NA11881	EUR
NA11882	EUR
NA11891	EUR
NA11892	EUR
NA11893	EUR
NA11894	EUR
NA11917	EUR
NA11918	EUR
NA11919	EUR
NA11920	EUR
NA11930	EUR
NA11931	EUR
NA11932	EUR
NA11933	EUR
NA11992	EUR
NA11993	EUR
NA11994	EUR
NA11995	EUR
NA12003	EUR
NA12004	EUR
NA12005	EUR
NA12006	EUR
NA12043	EUR
NA12044	EUR
NA12045	EUR
NA12046	EUR
NA12056	EUR
NA12057	EUR
NA12058	EUR
NA12144	EUR
NA12145	EUR
NA12146	EUR
NA12154	EUR
NA12155	EUR
NA12156	EUR
NA12234	EUR
NA12239	EUR
NA12248	EUR
NA12249	EUR
NA12264	EUR
NA12272	EUR
NA12273	EUR
NA12274	EUR
NA12275	EUR
NA12282	EUR
NA12283	EUR
NA12286	EUR
NA12287	EUR
NA12329	EUR
NA12335	EUR
NA12336	EUR
NA12340	EUR
NA12341	EUR
NA12342	EUR
NA12343	EUR
NA12344	EUR
NA12347	EUR
NA12348	EUR
NA12375	EUR
NA12376	EUR
NA12383	EUR
NA12386	EUR
NA12399	EUR
NA12400	EUR
NA12413	EUR
NA12414	EUR
NA12485	EUR
NA12489	EUR
NA12546	EUR
NA12707	EUR
NA12708	EUR
NA12716	EUR
NA12717	EUR
NA12718	EUR
NA12739	EUR
NA12740	EUR
NA12748	EUR
NA12749	EUR
NA12750	EUR
NA12751	EUR
NA12752	EUR
NA12753	EUR
NA12760	EUR
NA12761	EUR
NA12762	EUR
NA12763	EUR
NA12766	EUR
NA12767	EUR
NA12775	EUR
NA12776	EUR
NA12777	EUR
NA12778	EUR
NA12801	EUR
NA12802	EUR
NA12812	EUR
NA12813	EUR
NA12814	EUR
NA12815	EUR
NA12817	EUR
NA12818	EUR
NA12827	EUR
NA12828	EUR
NA12829	EUR
NA12830	EUR
NA12832	EUR
NA12842	EUR
NA12843	EUR
NA12864	EUR
NA12865	EUR
NA12872	EUR
NA12873	EUR
NA12874	EUR
NA12875	EUR
NA12877	EUR
NA12878	EUR
NA12889	EUR
NA12890	EUR
NA12891	EUR
NA12892	EUR
NA18484	AFR
NA18485	AFR
NA18486	AFR
NA18487	AFR
NA18488	AFR
NA18489	AFR
NA18497	AFR
NA18498	AFR
NA18499	AFR
NA18500	AFR
NA18501	AFR
NA18502	AFR
NA18503	AFR
NA18504	AFR
NA18505	AFR
NA18506	AFR
NA18507	AFR
NA18508	AFR
NA18509	AFR
NA18510	AFR
NA18511	AFR
NA18515	AFR
NA18516	AFR
NA18517	AFR
NA18518	AFR
NA18519	AFR
NA18520	AFR
NA18521	AFR
NA18522	AFR
NA18523	AFR
NA18525	EAS
NA18526	EAS
NA18527	EAS
NA18528	EAS
NA18530	EAS
NA18531	EAS
NA18532	EAS
NA18533	EAS
NA18534	EAS
NA18535	EAS
NA18536	EAS
NA18537	EAS
NA18538	EAS
NA18539	EAS
NA18541	EAS
NA18542	EAS
NA18543	EAS
NA18544	EAS
NA18545	EAS
NA18546	EAS
NA18547	EAS
NA18548	EAS
NA18549	EAS
NA18550	EAS
NA18552	EAS
NA18553	EAS
NA18555	EAS
NA18557	EAS
NA18558	EAS
NA18559	EAS
NA18560	EAS
NA18561	EAS
NA18562	EAS
NA18563	EAS
NA18564	EAS
NA18565	EAS
NA18566	EAS
NA18567	EAS
NA18570	EAS
NA18571	EAS
NA18572	EAS
NA18573	EAS
NA18574	EAS
NA18576	EAS
NA18577	EAS
NA18579	EAS
NA18582	EAS
NA18591	EAS
NA18592	EAS
NA18593	EAS
NA18595	EAS
NA18596	EAS
NA18597	EAS
NA18599	EAS
NA18602	EAS
NA18603	EAS
NA18605	EAS
NA18606	EAS
NA18608	EAS
NA18609	EAS
NA18610	EAS
NA18611	EAS
NA18612	EAS
NA18613	EAS
NA18614	EAS
NA18615	EAS
NA18616	EAS
NA18617	EAS
NA18618	EAS
NA18619	EAS
NA18620	EAS
NA18621	EAS
NA18622	EAS
NA18623	EAS
NA18624	EAS
NA18625	EAS
NA18626	EAS
NA18627	EAS
NA18628	EAS
NA18629	EAS
NA18630	EAS
NA18631	EAS
NA18632	EAS
NA18633	EAS
NA18634	EAS
NA18635	EAS
NA18636	EAS
NA18637	EAS
NA18638	EAS
NA18639	EAS
NA18640	EAS
NA18641	EAS
NA18642	EAS
NA18643	EAS
NA18644	EAS
NA18645	EAS
NA18646	EAS
NA18647	EAS
NA18648	EAS
NA18740	EAS
NA18745	EAS
NA18747	EAS
NA18748	EAS
NA18749	EAS
NA18757	EAS
NA18791	EAS
NA18794	EAS
NA18795	EAS
NA18852	AFR
NA18853	AFR
NA18854	AFR
NA18855	AFR
NA18856	AFR
NA18857	AFR
NA18858	AFR
NA18859	AFR
NA18860	AFR
NA18861	AFR
NA18862	AFR
NA18863	AFR
NA18864	AFR
NA18865	AFR
NA18867	AFR
NA18868	AFR
NA18869	AFR
NA18870	AFR
NA18871	AFR
NA18872	AFR
NA18873	AFR
NA18874	AFR
NA18875	AFR
NA18876	AFR
NA18877	AFR
NA18878	AFR
NA18879	AFR
NA18881	AFR
NA18906	AFR
NA18907	AFR
NA18908	AFR
NA18909	AFR
NA18910	AFR
NA18911	AFR
NA18912	AFR
NA18913	AFR
NA18914	AFR
NA18915	AFR
NA18916	AFR
NA18917	AFR
NA18923	AFR
NA18924	AFR
NA18925	AFR
NA18930	AFR
NA18933	AFR
NA18934	AFR
NA18935	AFR
NA18939	EAS
NA18940	EAS
NA18941	EAS
NA18942	EAS
NA18943	EAS
NA18944	EAS
NA18945	EAS
NA18946	EAS
NA18947	EAS
NA18948	EAS
NA18949	EAS
NA18950	EAS
NA18951	EAS
NA18952	EAS
NA18953	EAS
NA18954	EAS
NA18955	EAS
NA18956	EAS
NA18957	EAS
NA18959	EAS
NA18960	EAS
NA18961	EAS
NA18962	EAS
NA18963	EAS
NA18964	EAS
NA18965	EAS
NA18966	EAS
NA18967	EAS
NA18968	EAS
NA18969	EAS
NA18970	EAS
NA18971	EAS
NA18972	EAS
NA18973	EAS
NA18974	EAS
NA18975	EAS
NA18976	EAS
NA18977	EAS
NA18978	EAS
NA18979	EAS
NA18980	EAS
NA18981	EAS
NA18982	EAS
NA18983	EAS
NA18984	EAS
NA18985	EAS
NA18986	EAS
NA18987	EAS
NA18988	EAS
NA18989	EAS
NA18990	EAS
NA18991	EAS
NA18992	EAS
NA18993	EAS
NA18994	EAS
NA18995	EAS
NA18997	EAS
NA18998	EAS
NA18999	EAS
NA19000	EAS
NA19001	EAS
NA19002	EAS
NA19003	EAS
NA19004	EAS
NA19005	EAS
NA19006	EAS
NA19007	EAS
NA19009	EAS
NA19010	EAS
NA19011	EAS
NA19012	EAS
NA19017	AFR
NA19019	AFR
NA19020	AFR
NA19023	AFR
NA19024	AFR
NA19025	AFR
NA19026	AFR
NA19027	AFR
NA19028	AFR
NA19030	AFR
NA19031	AFR
NA19035	AFR
NA19036	AFR
NA19037	AFR
NA19038	AFR
NA19041	AFR
NA19042	AFR
NA19043	AFR
NA19044	AFR
NA19046	AFR
NA19054	EAS
NA19055	EAS
NA19056	EAS
NA19057	EAS
NA19058	EAS
NA19059	EAS
NA19060	EAS
NA19062	EAS
NA19063	EAS
NA19064	EAS
NA19065	EAS
NA19066	EAS
NA19067	EAS
NA19068	EAS
NA19070	EAS
NA19072	EAS
NA19074	EAS
NA19075	EAS
NA19076	EAS
NA19077	EAS
NA19078	EAS
NA19079	EAS
NA19080	EAS
NA19081	EAS
NA19082	EAS
NA19083	EAS
NA19084	EAS
NA19085	EAS
NA19086	EAS
NA19087	EAS
NA19088	EAS
NA19089	EAS
NA19090	EAS
NA19091	EAS
NA19092	AFR
NA19093	AFR
NA19094	AFR
NA19095	AFR
NA19096	AFR
NA19097	AFR
NA19098	AFR
NA19099	AFR
NA19100	AFR
NA19101	AFR
NA19102	AFR
NA19103	AFR
NA19104	AFR
NA19105	AFR
NA19107	AFR
NA19108	AFR
NA19109	AFR
NA19113	AFR
NA19114	AFR
NA19115	AFR
NA19116	AFR
NA19117	AFR
NA19118	AFR
NA19119	AFR
NA19120	AFR
NA19121	AFR
NA19122	AFR
NA19123	AFR
NA19127	AFR
NA19128	AFR
NA19129	AFR
NA19130	AFR
NA19131	AFR
NA19132	AFR
NA19137	AFR
NA19138	AFR
NA19139	AFR
NA19140	AFR
NA19141	AFR
NA19142	AFR
NA19143	AFR
NA19144	AFR
NA19145	AFR
NA19146	AFR
NA19147	AFR
NA19148	AFR
NA19149	AFR
NA19150	AFR
NA19151	AFR
NA19152	AFR
NA19153	AFR
NA19154	AFR
NA19159	AFR
NA19160	AFR
NA19161	AFR
NA19166	AFR
NA19171	AFR
NA19172	AFR
NA19173	AFR
NA19174	AFR
NA19175	AFR
NA19176	AFR
NA19177	AFR
NA19184	AFR
NA19185	AFR
NA19186	AFR
NA19189	AFR
NA19190	AFR
NA19191	AFR
NA19195	AFR
NA19196	AFR
NA19197	AFR
NA19198	AFR
NA19199	AFR
NA19200	AFR
NA19201	AFR
NA19202	AFR
NA19203	AFR
NA19204	AFR
NA19205	AFR
NA19206	AFR
NA19207	AFR
NA19208	AFR
NA19209	AFR
NA19210	AFR
NA19211	AFR
NA19213	AFR
NA19214	AFR
NA19215	AFR
NA19221	AFR
NA19222	AFR
NA19223	AFR
NA19224	AFR
NA19225	AFR
NA19226	AFR
NA19235	AFR
NA19236	AFR
NA19237	AFR
NA19238	AFR
NA19239	AFR
NA19240	AFR
NA19247	AFR
NA19248	AFR
NA19249	AFR
NA19252	AFR
NA19254	AFR
NA19256	AFR
NA19257	AFR
NA19258	AFR
NA19307	AFR
NA19308	AFR
NA19309	AFR
NA19310	AFR
NA19311	AFR
NA19312	AFR
NA19313	AFR
NA19314	AFR
NA19315	AFR
NA19316	AFR
NA19317	AFR
NA19318	AFR
NA19319	AFR
NA19320	AFR
NA19321	AFR
NA19323	AFR
NA19324	AFR
NA19327	AFR
NA19328	AFR
NA19331	AFR
NA19332	AFR
NA19334	AFR
NA19338	AFR
NA19346	AFR
NA19347	AFR
NA19350	AFR
NA19351	AFR
NA19352	AFR
NA19355	AFR
NA19359	AFR
NA19360	AFR
NA19371	AFR
NA19372	AFR
NA19373	AFR
NA19374	AFR
NA19375	AFR
NA19376	AFR
NA19377	AFR
NA19378	AFR
NA19379	AFR
NA19380	AFR
NA19381	AFR
NA19382	AFR
NA19383	AFR
NA19384	AFR
NA19385	AFR
NA19390	AFR
NA19391	AFR
NA19393	AFR
NA19394	AFR
NA19395	AFR
NA19396	AFR
NA19397	AFR
NA19398	AFR
NA19399	AFR
NA19401	AFR
NA19403	AFR
NA19404	AFR
NA19428	AFR
NA19429	AFR
NA19430	AFR
NA19431	AFR
NA19432	AFR
NA19434	AFR
NA19435	AFR
NA19436	AFR
NA19437	AFR
NA19438	AFR
NA19439	AFR
NA19440	AFR
NA19443	AFR
NA19444	AFR
NA19445	AFR
NA19446	AFR
NA19448	AFR
NA19449	AFR
NA19451	AFR
NA19452	AFR
NA19453	AFR
NA19454	AFR
NA19455	AFR
NA19456	AFR
NA19457	AFR
NA19461	AFR
NA19462	AFR
NA19463	AFR
NA19466	AFR
NA19467	AFR
NA19468	AFR
NA19469	AFR
NA19470	AFR
NA19471	AFR
NA19472	AFR
NA19473	AFR
NA19474	AFR
NA19475	AFR
NA19625	AFR
NA19648	AMR
NA19649	AMR
NA19650	AMR
NA19651	AMR
NA19652	AMR
NA19653	AMR
NA19654	AMR
NA19655	AMR
NA19656	AMR
NA19657	AMR
NA19658	AMR
NA19659	AMR
NA19660	AMR
NA19661	AMR
NA19662	AMR
NA19663	AMR
NA19664	AMR
NA19665	AMR
NA19669	AMR
NA19670	AMR
NA19671	AMR
NA19672	AMR
NA19674	AMR
NA19675	AMR
NA19676	AMR
NA19677	AMR
NA19678	AMR
NA19679	AMR
NA19680	AMR
NA19681	AMR
NA19682	AMR
NA19683	AMR
NA19684	AMR
NA19685	AMR
NA19686	AMR
NA19700	AFR
NA19701	AFR
NA19702	AFR
NA19703	AFR
NA19704	AFR
NA19705	AFR
NA19707	AFR
NA19708	AFR
NA19711	AFR
NA19712	AFR
NA19713	AFR
NA19714	AFR
